,index,RED,WHITE,TOTAL,PERCENT,YEAR
120,10,20506.8,2513.9,23020.7,0.5423154819436108,2013
121,11,532358.0,269468.9,801826.9,18.889223251632288,2013
122,12,190506.60000000003,169210.50000000003,359717.1000000001,8.474119051543093,2013
123,13,728391.8999999999,584318.8000000002,1312710.7000000002,30.92448691495197,2013
124,14,174729.49999999997,179055.7,353785.19999999995,8.334376940862647,2013
125,15,455.59999999999997,64.89999999999999,520.5,0.012261799526150353,2013
126,16,3652.2,1354.1999999999996,5006.4,0.11793942967861502,2013
127,17,39522.9,104216.40000000001,143739.30000000002,3.386171912832245,2013
128,2,25318.5,18300.6,43619.1,1.027567069569846,2013
129,3,156435.30000000002,114173.79999999999,270609.1,6.374936665037412,2013
130,4,121636.79999999993,53209.700000000004,174846.49999999994,4.11898699490691,2013
131,5,8880.699999999999,12302.400000000001,21183.1,0.4990257935492709,2013
132,6,25362.500000000007,12219.9,37582.40000000001,0.8853561085717446,2013
133,7,149715.79999999996,162849.2,312565.0,7.363322514680471,2013
134,8,165298.59999999998,78051.20000000001,243349.8,5.732769380074511,2013
135,9,32040.800000000007,30847.499999999993,62888.3,1.4815057197702233,2013
136,1,40007.99999999999,31086.899999999998,71094.9,1.7694587725854887,2012
137,10,20691.7,2681.8,23373.5,0.5817357450538213,2012
138,11,500210.8999999999,267188.70000000007,767399.6,19.099569087214345,2012
139,12,172481.40000000002,166962.3,339443.7,8.448308286021598,2012
140,13,676931.7,538461.7,1215393.4,30.249546926326698,2012
141,14,164242.80000000002,165213.0,329455.80000000005,8.199722560818994,2012
142,15,840.5999999999999,128.9,969.4999999999999,0.024129582853645356,2012
143,16,3626.4,1327.1,4953.5,0.12328611517847579,2012
144,17,40185.1,108505.00000000001,148690.1,3.7007014826888227,2012
145,2,22184.399999999994,12632.0,34816.399999999994,0.8665345110527676,2012
146,3,161709.90000000005,105351.7,267061.60000000003,6.646812794458066,2012
147,4,132108.39999999997,50750.2,182858.59999999998,4.551110612894889,2012
148,5,9511.3,14316.6,23827.9,0.5930451648049265,2012
149,6,19470.7,11337.2,30807.9,0.7667682058760401,2012
150,7,149643.30000000002,149536.30000000002,299179.60000000003,7.446187670263516,2012
151,8,151509.69999999992,66858.00000000001,218367.69999999995,5.434885518009255,2012
